order_id,product_name,category,quantity,price,total_amount,discount,cost,order_status,created_time,buyer_id,country
ORD-001,Phone Case Glitter,Accessories,2,8.99,17.98,0,3.50,Completed,2026-01-05 09:15:22,buyer_001,US
ORD-002,LED Ring Light 10in,Electronics,1,24.99,24.99,2.50,12.00,Completed,2026-01-05 10:03:41,buyer_002,US
ORD-003,Phone Case Glitter,Accessories,1,8.99,8.99,0,3.50,Returned,2026-01-05 11:22:05,buyer_003,UK
ORD-004,Wireless Earbuds Pro,Electronics,1,39.99,39.99,5.00,18.00,Completed,2026-01-06 14:55:18,buyer_004,US
ORD-005,Yoga Mat Premium,Sports,1,19.99,19.99,0,8.00,Completed,2026-01-07 08:30:00,buyer_005,CA
ORD-006,Phone Case Glitter,Accessories,3,8.99,26.97,1.00,3.50,Completed,2026-01-08 12:00:00,buyer_006,US
ORD-007,LED Ring Light 10in,Electronics,1,24.99,24.99,0,12.00,Completed,2026-01-09 15:20:00,buyer_002,US
ORD-008,Resistance Bands Set,Sports,2,12.99,25.98,0,5.00,Completed,2026-01-10 09:45:00,buyer_007,US
ORD-009,Phone Case Glitter,Accessories,1,8.99,8.99,0,3.50,Completed,2026-01-11 11:00:00,buyer_008,UK
ORD-010,Wireless Earbuds Pro,Electronics,1,39.99,39.99,3.00,18.00,Completed,2026-01-12 16:30:00,buyer_009,DE
ORD-011,Yoga Mat Premium,Sports,2,19.99,39.98,5.00,8.00,Completed,2026-01-13 10:15:00,buyer_010,US
ORD-012,LED Ring Light 10in,Electronics,2,24.99,49.98,0,12.00,Completed,2026-01-14 14:00:00,buyer_011,US
ORD-013,Phone Case Glitter,Accessories,1,8.99,8.99,0,3.50,Returned,2026-01-15 09:30:00,buyer_012,CA
ORD-014,Water Bottle Insulated,Kitchen,1,15.99,15.99,0,6.00,Completed,2026-01-15 11:45:00,buyer_013,US
ORD-015,Wireless Earbuds Pro,Electronics,1,39.99,39.99,0,18.00,Completed,2026-01-16 13:20:00,buyer_014,UK
ORD-016,Phone Case Glitter,Accessories,2,8.99,17.98,0,3.50,Completed,2026-01-17 08:00:00,buyer_001,US
ORD-017,Resistance Bands Set,Sports,1,12.99,12.99,0,5.00,Completed,2026-01-18 10:30:00,buyer_015,DE
ORD-018,LED Ring Light 10in,Electronics,1,24.99,24.99,3.00,12.00,Completed,2026-01-19 15:45:00,buyer_016,US
ORD-019,Yoga Mat Premium,Sports,1,19.99,19.99,0,8.00,Cancelled,2026-01-20 09:00:00,buyer_017,CA
ORD-020,Phone Case Glitter,Accessories,1,8.99,8.99,0,3.50,Completed,2026-01-21 12:15:00,buyer_018,US
