user_id,feature_name,used_at,session_id,duration_seconds
u_00078,Dashboard,2025-12-30 18:54:12,s_u_00078_0000,143
u_00078,Funnel Builder,2025-12-30 23:59:59,s_u_00078_0000,591
u_00021,Team Collaboration,2025-12-31 02:52:47,s_u_00021_0000,256
u_00389,Segment Explorer,2025-12-31 08:01:56,s_u_00389_0001,244
u_00077,AI Analyst,2025-12-31 08:41:52,s_u_00077_0000,489
u_00210,AI Analyst,2025-12-31 09:18:19,s_u_00210_0000,362
u_00434,Funnel Builder,2025-12-31 10:11:05,s_u_00434_0004,421
u_00347,Team Collaboration,2025-12-31 10:33:21,s_u_00347_0000,268
u_00268,Retention Chart,2025-12-31 11:06:31,s_u_00268_0000,196
u_00274,Funnel Builder,2025-12-31 11:32:38,s_u_00274_0000,339
u_00199,Data Import,2025-12-31 11:32:55,s_u_00199_0001,693
u_00255,Segment Explorer,2025-12-31 11:35:45,s_u_00255_0000,289
u_00215,Dashboard,2025-12-31 11:58:21,s_u_00215_0000,141
u_00262,AI Analyst,2025-12-31 11:59:44,s_u_00262_0000,528
u_00434,Funnel Builder,2025-12-31 12:58:16,s_u_00434_0001,758
u_00171,Dashboard,2025-12-31 13:02:52,s_u_00171_0000,232
u_00261,Custom Alerts,2025-12-31 13:18:31,s_u_00261_0000,248
u_00244,Data Import,2025-12-31 13:47:25,s_u_00244_0000,466
u_00151,Custom Alerts,2025-12-31 14:09:02,s_u_00151_0000,157
u_00202,API Access,2025-12-31 14:09:26,s_u_00202_0000,127
u_00064,Segment Explorer,2025-12-31 14:15:30,s_u_00064_0000,252
u_00171,Funnel Builder,2025-12-31 14:43:13,s_u_00171_0000,470
u_00249,Segment Explorer,2025-12-31 14:52:37,s_u_00249_0000,280
u_00328,Funnel Builder,2025-12-31 14:57:31,s_u_00328_0000,228
u_00441,Report Export,2025-12-31 15:03:52,s_u_00441_0000,62
u_00237,Report Export,2025-12-31 15:27:36,s_u_00237_0000,58
u_00221,Funnel Builder,2025-12-31 15:57:29,s_u_00221_0000,429
u_00088,Funnel Builder,2025-12-31 16:02:56,s_u_00088_0000,80
u_00327,Dashboard,2025-12-31 16:42:35,s_u_00327_0000,133
u_00346,Funnel Builder,2025-12-31 16:47:44,s_u_00346_0000,704
u_00457,Team Collaboration,2025-12-31 17:07:07,s_u_00457_0001,112
u_00221,Segment Explorer,2025-12-31 17:15:50,s_u_00221_0000,353
u_00224,Report Export,2025-12-31 17:16:17,s_u_00224_0000,71
u_00190,Funnel Builder,2025-12-31 17:17:53,s_u_00190_0000,616
u_00245,Dashboard,2025-12-31 17:20:18,s_u_00245_0000,146
u_00031,Segment Explorer,2025-12-31 17:50:49,s_u_00031_0000,290
u_00262,Segment Explorer,2025-12-31 17:57:35,s_u_00262_0000,349
u_00389,Team Collaboration,2025-12-31 18:30:44,s_u_00389_0000,237
u_00093,AI Analyst,2025-12-31 18:35:07,s_u_00093_0000,174
u_00320,API Access,2025-12-31 19:05:06,s_u_00320_0000,88
u_00377,Funnel Builder,2025-12-31 20:34:00,s_u_00377_0000,474
u_00171,Funnel Builder,2025-12-31 20:35:08,s_u_00171_0000,320
u_00449,Report Export,2025-12-31 20:44:38,s_u_00449_0000,67
u_00268,Custom Alerts,2025-12-31 21:19:17,s_u_00268_0000,184
u_00054,Team Collaboration,2025-12-31 21:29:56,s_u_00054_0000,363
u_00439,Dashboard,2025-12-31 21:31:04,s_u_00439_0000,47
u_00104,Retention Chart,2025-12-31 21:34:44,s_u_00104_0000,255
u_00333,Custom Alerts,2025-12-31 21:56:02,s_u_00333_0000,70
u_00389,API Access,2026-01-01 02:34:54,s_u_00389_0003,114
u_00134,Report Export,2026-01-01 03:42:08,s_u_00134_0000,40
u_00046,Dashboard,2026-01-01 06:23:22,s_u_00046_0000,240
u_00224,Retention Chart,2026-01-01 08:59:47,s_u_00224_0001,254
u_00034,Segment Explorer,2026-01-01 09:30:05,s_u_00034_0000,450
u_00480,Segment Explorer,2026-01-01 09:44:17,s_u_00480_0000,327
u_00210,Custom Alerts,2026-01-01 11:16:33,s_u_00210_0000,59
u_00477,Segment Explorer,2026-01-01 11:28:06,s_u_00477_0000,482
u_00346,Funnel Builder,2026-01-01 11:54:16,s_u_00346_0000,570
u_00357,Dashboard,2026-01-01 11:56:23,s_u_00357_0000,156
u_00049,Segment Explorer,2026-01-01 11:56:46,s_u_00049_0000,396
u_00389,Funnel Builder,2026-01-01 12:43:24,s_u_00389_0004,676
u_00434,API Access,2026-01-01 12:50:34,s_u_00434_0004,153
u_00305,Funnel Builder,2026-01-01 13:27:49,s_u_00305_0000,531
u_00308,Report Export,2026-01-01 13:44:18,s_u_00308_0000,73
u_00444,API Access,2026-01-01 14:09:03,s_u_00444_0000,51
u_00216,Team Collaboration,2026-01-01 14:19:00,s_u_00216_0001,184
u_00430,Segment Explorer,2026-01-01 14:25:27,s_u_00430_0000,462
u_00443,Retention Chart,2026-01-01 14:57:10,s_u_00443_0000,299
u_00138,Team Collaboration,2026-01-01 15:13:39,s_u_00138_0001,100
u_00434,Custom Alerts,2026-01-01 15:25:45,s_u_00434_0003,97
u_00021,Segment Explorer,2026-01-01 15:49:08,s_u_00021_0000,273
u_00224,Segment Explorer,2026-01-01 16:55:21,s_u_00224_0001,253
u_00346,Data Import,2026-01-01 17:02:55,s_u_00346_0002,1028
u_00061,Custom Alerts,2026-01-01 17:07:00,s_u_00061_0000,133
